method,size,range,distribution,ordered,time
quickSort,6000000,200000,uniform,True,17.98263430595398
mergeSort,6000000,200000,uniform,True,17.552961826324463
binarySort,6000000,200000,uniform,True,6.396478652954102
quickSort,7000000,200000,uniform,True,22.233949899673462
mergeSort,7000000,200000,uniform,True,20.929609775543213
binarySort,7000000,200000,uniform,True,7.33008337020874
quickSort,8000000,200000,uniform,True,24.632943630218506
mergeSort,8000000,200000,uniform,True,24.617207050323486
binarySort,8000000,200000,uniform,True,8.37314486503601
quickSort,9000000,200000,uniform,True,28.638513803482056
mergeSort,9000000,200000,uniform,True,27.153029918670654
binarySort,9000000,200000,uniform,True,9.493460893630981
quickSort,10000000,200000,uniform,True,31.013829469680786
mergeSort,10000000,200000,uniform,True,30.641178369522095
binarySort,10000000,200000,uniform,True,10.600950956344604
quickSort,1000000,10000,normal,True,1.6381900310516357
mergeSort,1000000,10000,normal,True,2.2654004096984863
binarySort,1000000,10000,normal,True,0.637451171875
quickSort,2000000,10000,normal,True,3.9493818283081055
mergeSort,2000000,10000,normal,True,4.908318519592285
binarySort,2000000,10000,normal,True,1.3350863456726074
quickSort,3000000,10000,normal,True,6.33167290687561
mergeSort,3000000,10000,normal,True,8.310678958892822
binarySort,3000000,10000,normal,True,2.2010879516601562
quickSort,4000000,10000,normal,True,9.17751669883728
mergeSort,4000000,10000,normal,True,10.879554271697998
binarySort,4000000,10000,normal,True,2.9496870040893555
quickSort,5000000,10000,normal,True,11.442674398422241
mergeSort,5000000,10000,normal,True,13.991365194320679
binarySort,5000000,10000,normal,True,3.734055757522583
quickSort,6000000,10000,normal,True,14.575800657272339
mergeSort,6000000,10000,normal,True,17.33383846282959
binarySort,6000000,10000,normal,True,4.39375376701355
quickSort,7000000,10000,normal,True,17.29881715774536
mergeSort,7000000,10000,normal,True,20.536882400512695
binarySort,7000000,10000,normal,True,5.119886159896851
quickSort,8000000,10000,normal,True,19.758745908737183
mergeSort,8000000,10000,normal,True,23.637054204940796
