method,size,range,distribution,ordered,time
binarySort,8000000,30000,uniform,True,21.10217308998108
quickSort,8000000,30000,uniform,True,36.614346981048584
mergeSort,8000000,30000,uniform,True,42.82987427711487
binarySort,9000000,30000,uniform,True,23.337435245513916
quickSort,9000000,30000,uniform,True,43.061553716659546
mergeSort,9000000,30000,uniform,True,48.2115638256073
binarySort,10000000,30000,uniform,True,26.47463583946228
quickSort,10000000,30000,uniform,True,49.24453902244568
mergeSort,10000000,30000,uniform,True,54.5115532875061
binarySort,11000000,30000,uniform,True,29.93087124824524
quickSort,11000000,30000,uniform,True,52.276612281799316
mergeSort,11000000,30000,uniform,True,61.131756067276
binarySort,12000000,30000,uniform,True,32.983911752700806
quickSort,12000000,30000,uniform,True,59.86927151679993
mergeSort,12000000,30000,uniform,True,66.89872884750366
binarySort,13000000,30000,uniform,True,35.84664702415466
quickSort,1000000,40000,uniform,True,3.6336512565612793
quickSort,13000000,30000,uniform,True,65.97809147834778
mergeSort,1000000,40000,uniform,True,4.54001259803772
binarySort,1000000,40000,uniform,True,2.2059037685394287
quickSort,2000000,40000,uniform,True,7.762303590774536
mergeSort,13000000,30000,uniform,True,72.81440901756287
mergeSort,2000000,40000,uniform,True,9.306641340255737
binarySort,2000000,40000,uniform,True,4.64405083656311
quickSort,3000000,40000,uniform,True,12.317570209503174
binarySort,3000000,40000,uniform,True,7.403787136077881
binarySort,14000000,30000,uniform,True,39.14721655845642
mergeSort,3000000,40000,uniform,True,14.164458990097046
quickSort,14000000,30000,uniform,True,69.92412686347961
binarySort,4000000,40000,uniform,True,10.03899884223938
quickSort,4000000,40000,uniform,True,16.70783758163452
mergeSort,4000000,40000,uniform,True,19.971423625946045
mergeSort,14000000,30000,uniform,True,79.23502159118652
quickSort,5000000,40000,uniform,True,22.43789792060852
binarySort,5000000,40000,uniform,True,12.777338027954102
mergeSort,5000000,40000,uniform,True,26.055564403533936
binarySort,6000000,40000,uniform,True,15.749345541000366
quickSort,6000000,40000,uniform,True,26.42449975013733
mergeSort,6000000,40000,uniform,True,31.709757089614868
binarySort,7000000,40000,uniform,True,18.624682903289795
quickSort,7000000,40000,uniform,True,34.69607591629028
mergeSort,7000000,40000,uniform,True,37.451395988464355
binarySort,8000000,40000,uniform,True,21.891010761260986
quickSort,8000000,40000,uniform,True,38.13524413108826
mergeSort,8000000,40000,uniform,True,42.35041046142578
binarySort,9000000,40000,uniform,True,25.092535972595215
quickSort,9000000,40000,uniform,True,44.360172748565674
mergeSort,9000000,40000,uniform,True,50.411566734313965
binarySort,10000000,40000,uniform,True,28.716904401779175
quickSort,10000000,40000,uniform,True,49.754772424697876
mergeSort,10000000,40000,uniform,True,57.87757611274719
binarySort,11000000,40000,uniform,True,31.66827630996704
quickSort,11000000,40000,uniform,True,54.34549927711487
mergeSort,11000000,40000,uniform,True,62.83721995353699
binarySort,12000000,40000,uniform,True,35.02057766914368
quickSort,12000000,40000,uniform,True,62.29889464378357
